dilution,mM_product,ug_per_mL_product_avgTPAMHET,mg_TPAeq,percent_depolymerization,mM_product_per_mg_enzyme,mmol_product_per_mg_enzyme,umol_product_per_mg_enzyme,mg_TPAeq_per_mg_enzyme,nmol_product_per_nM_enzyme,source_well,sample_id
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0.12,22.76,0.01,0.33,24.2,0.012,12,2.01,0.16,G8,ESM160
,0.15,28.93,0.01,0.42,30.76,0.015,15,2.55,0.2,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0,0,0,0,0,0,0,0,0,G8,ESM160
,0.41,76.55,0.03,1.12,81.38,0.041,41,6.76,0.55,G8,ESM160
,0.46,86.73,0.04,1.27,92.21,0.046,46,7.66,0.62,G8,ESM160
,0.07,13.92,0.01,0.2,14.8,0.007,7,1.23,0.09,G8,ESM160
,0.08,14.4,0.01,0.21,15.31,0.008,8,1.27,0.11,G8,ESM160
,0.66,123.53,0.05,1.8,131.33,0.066,66,10.91,0.89,G8,ESM160
,0.67,126.47,0.06,1.85,134.46,0.067,67,11.17,0.9,G8,ESM160
,0.13,24.42,0.01,0.36,25.97,0.013,13,2.16,0.18,G8,ESM160
,0.15,28.56,0.01,0.42,30.36,0.015,15,2.52,0.2,G8,ESM160
,0.1,18.29,0.01,0.27,19.45,0.01,10,1.62,0.22,H8,ESM161
,0,0,0,0,0,0,0,0,0,H8,ESM161
,0.13,25.03,0.01,0.37,26.61,0.013,13,2.21,0.28,H8,ESM161
,0,0,0,0,0,0,0,0,0,H8,ESM161
,0.21,38.58,0.02,0.56,41.02,0.021,21,3.41,0.45,H8,ESM161
,0,0,0,0,0,0,0,0,0,H8,ESM161
,0.06,11.21,0,0.16,11.92,0.006,6,0.99,0.13,H8,ESM161
,0,0,0,0,0,0,0,0,0,H8,ESM161
,0,0,0,0,0,0,0,0,0,A9,ESM162
,0,0,0,0,0,0,0,0,0,A9,ESM162
,0,0,0,0,0,0,0,0,0,A9,ESM162
,0,0,0,0,0,0,0,0,0,A9,ESM162
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,B9,ESM163
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0.04,7.66,0,0.11,8.14,0.004,4,0.68,0.06,F9,ESM167
,0.04,6.98,0,0.1,7.42,0.004,4,0.62,0.06,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0.07,13.58,0.01,0.2,14.44,0.007,7,1.2,0.1,F9,ESM167
,0.06,11.79,0.01,0.17,12.53,0.006,6,1.04,0.08,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0.04,7.21,0,0.11,7.67,0.004,4,0.64,0.06,F9,ESM167
,0.08,15.58,0.01,0.23,16.57,0.008,8,1.38,0.11,F9,ESM167
,0.07,12.74,0.01,0.19,13.54,0.007,7,1.12,0.1,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0.05,8.6,0,0.13,9.15,0.005,5,0.76,0.07,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0.04,6.74,0,0.1,7.17,0.004,4,0.6,0.06,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0,0,0,0,0,0,0,0,0,F9,ESM167
,0.11,20.19,0.01,0.29,21.46,0.011,11,1.78,0.15,F9,ESM167
,0.14,25.85,0.01,0.38,27.48,0.014,14,2.28,0.19,F9,ESM167
,0.09,17.58,0.01,0.26,18.69,0.009,9,1.55,0.12,F9,ESM167
,0.12,22.56,0.01,0.33,23.98,0.012,12,1.99,0.17,F9,ESM167
,0.18,32.92,0.01,0.48,35,0.018,18,2.91,0.25,F9,ESM167
,0.24,44.85,0.02,0.65,47.68,0.024,24,3.96,0.33,F9,ESM167
,0.19,36.01,0.02,0.53,38.28,0.019,19,3.18,0.26,F9,ESM167
,0.21,40.24,0.02,0.59,42.78,0.021,21,3.55,0.29,F9,ESM167
,0.35,65.38,0.03,0.95,69.51,0.035,35,5.77,0.48,F9,ESM167
,0.36,67.04,0.03,0.98,71.27,0.036,36,5.92,0.5,F9,ESM167
,0.25,47.32,0.02,0.69,50.31,0.025,25,4.18,0.35,F9,ESM167
,0.27,50.64,0.02,0.74,53.84,0.027,27,4.47,0.37,F9,ESM167
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0.05,10.26,0,0.15,10.91,0.005,5,0.91,0.07,H9,ESM169
,0.07,12.4,0.01,0.18,13.18,0.007,7,1.09,0.1,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0.1,19.71,0.01,0.29,20.96,0.01,10,1.74,0.14,H9,ESM169
,0.11,20.43,0.01,0.3,21.72,0.011,11,1.8,0.16,H9,ESM169
,0.06,11.21,0,0.16,11.92,0.006,6,0.99,0.09,H9,ESM169
,0.07,12.74,0.01,0.19,13.54,0.007,7,1.12,0.1,H9,ESM169
,0.18,33.16,0.01,0.48,35.26,0.018,18,2.93,0.26,H9,ESM169
,0.19,35.77,0.02,0.52,38.03,0.019,19,3.16,0.27,H9,ESM169
,0.05,9.69,0,0.14,10.3,0.005,5,0.86,0.07,H9,ESM169
,0.07,13.82,0.01,0.2,14.69,0.007,7,1.22,0.1,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0,0,0,0,0,0,0,0,0,H9,ESM169
,0.13,24.42,0.01,0.36,25.97,0.013,13,2.16,0.19,H9,ESM169
,0.17,31.74,0.01,0.46,33.74,0.017,17,2.8,0.24,H9,ESM169
,0.09,16.39,0.01,0.24,17.43,0.009,9,1.45,0.13,H9,ESM169
,0.09,16.63,0.01,0.24,17.68,0.009,9,1.47,0.13,H9,ESM169
,0.32,60.77,0.03,0.89,64.61,0.032,32,5.37,0.46,H9,ESM169
,0.33,61.38,0.03,0.9,65.26,0.033,33,5.42,0.47,H9,ESM169
,0.26,49.79,0.02,0.73,52.94,0.026,26,4.4,0.37,H9,ESM169
,0.23,43.09,0.02,0.63,45.81,0.023,23,3.81,0.33,H9,ESM169
,0.65,123.04,0.05,1.8,130.81,0.065,65,10.87,0.93,H9,ESM169
,0.49,91.51,0.04,1.34,97.29,0.049,49,8.08,0.7,H9,ESM169
,0.28,52.3,0.02,0.76,55.6,0.028,28,4.62,0.4,H9,ESM169
,0.3,55.82,0.02,0.81,59.35,0.03,30,4.93,0.43,H9,ESM169
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0.03,5.89,0,0.09,6.27,0.003,3,0.52,0.07,D10,ESM173
,0.04,7.45,0,0.11,7.92,0.004,4,0.66,0.09,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0.11,21.24,0.01,0.31,22.58,0.011,11,1.88,0.24,D10,ESM173
,0.12,21.85,0.01,0.32,23.23,0.012,12,1.93,0.27,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0.21,38.95,0.02,0.57,41.42,0.021,21,3.44,0.46,D10,ESM173
,0.2,37.77,0.02,0.55,40.15,0.02,20,3.34,0.44,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0.11,21.24,0.01,0.31,22.58,0.011,11,1.88,0.24,D10,ESM173
,0.11,21.37,0.01,0.31,22.72,0.011,11,1.89,0.24,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,D10,ESM173
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,E10,ESM174
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,F10,ESM175
,0,0,0,0,0,0,0,0,0,H10,ESM177
,0,0,0,0,0,0,0,0,0,H10,ESM177
,0,0,0,0,0,0,0,0,0,H10,ESM177
,0,0,0,0,0,0,0,0,0,H10,ESM177
,0.13,24.08,0.01,0.35,25.61,0.013,13,2.13,0.17,H10,ESM177
,0,0,0,0,0,0,0,0,0,H10,ESM177
,0.42,79.49,0.04,1.16,84.51,0.042,42,7.02,0.55,H10,ESM177
,0.07,12.87,0.01,0.19,13.69,0.007,7,1.14,0.09,H10,ESM177
,0,0,0,0,0,0,0,0,0,G11,ESM184
,0,0,0,0,0,0,0,0,0,G11,ESM184
,0,0,0,0,0,0,0,0,0,G11,ESM184
,0,0,0,0,0,0,0,0,0,G11,ESM184
,0,0,0,0,0,0,0,0,0,A12,ESM186
,0,0,0,0,0,0,0,0,0,A12,ESM186
,0.03,6.03,0,0.09,6.41,0.003,3,0.53,0.04,A12,ESM186
,0.13,23.95,0.01,0.35,25.46,0.013,13,2.11,0.19,A12,ESM186
,0.11,19.82,0.01,0.29,21.07,0.011,11,1.75,0.15,LCC-ICCG,LCC-ICCG
,0.09,17.24,0.01,0.25,18.33,0.009,9,1.52,0.12,LCC-ICCG,LCC-ICCG
,0.66,123.53,0.05,1.8,131.33,0.066,66,10.91,0.91,LCC-ICCG,LCC-ICCG
,0.74,138.49,0.06,2.02,147.24,0.074,74,12.23,1.02,LCC-ICCG,LCC-ICCG
,0.31,58.53,0.03,0.85,62.23,0.031,31,5.17,0.43,LCC-ICCG,LCC-ICCG
,0.25,47.32,0.02,0.69,50.31,0.025,25,4.18,0.35,LCC-ICCG,LCC-ICCG
,4.72,888.13,0.39,12.96,944.25,0.472,472,78.43,6.52,LCC-ICCG,LCC-ICCG
,4.2,789.51,0.35,11.52,839.39,0.42,420,69.72,5.8,LCC-ICCG,LCC-ICCG
,0.53,99.61,0.04,1.45,105.9,0.053,53,8.8,0.73,LCC-ICCG,LCC-ICCG
,0.43,81.21,0.04,1.19,86.34,0.043,43,7.17,0.59,LCC-ICCG,LCC-ICCG
,3.95,743.26,0.33,10.85,790.22,0.395,395,65.64,5.46,LCC-ICCG,LCC-ICCG
,7.8,1466.52,0.65,21.41,1559.18,0.78,780,129.51,10.77,LCC-ICCG,LCC-ICCG
,0.92,173.58,0.08,2.53,184.55,0.092,92,15.33,1.27,LCC-ICCG,LCC-ICCG
,0.85,160.33,0.07,2.34,170.46,0.085,85,14.16,1.17,LCC-ICCG,LCC-ICCG
4X,9.15,1721.68,0.76,25.13,1830.45,0.915,915,152.05,12.64,LCC-ICCG,LCC-ICCG
4X,9.89,1860.17,0.82,27.15,1977.7,0.989,989,164.28,13.66,LCC-ICCG,LCC-ICCG
,0.13,23.95,0.01,0.35,25.46,0.013,13,2.11,0.18,LCC-ICCG,LCC-ICCG
,0.35,66.56,0.03,0.97,70.77,0.035,35,5.88,0.48,LCC-ICCG,LCC-ICCG
,0.24,45.19,0.02,0.66,48.04,0.024,24,3.99,0.33,LCC-ICCG,LCC-ICCG
,0.19,36.11,0.02,0.53,38.39,0.019,19,3.19,0.26,LCC-ICCG,LCC-ICCG
,0.55,103.9,0.05,1.52,110.47,0.055,55,9.18,0.76,LCC-ICCG,LCC-ICCG
,0.65,121.81,0.05,1.78,129.51,0.065,65,10.76,0.9,LCC-ICCG,LCC-ICCG
,0.55,103.41,0.05,1.51,109.94,0.055,55,9.13,0.76,LCC-ICCG,LCC-ICCG
,0.49,91.51,0.04,1.34,97.29,0.049,49,8.08,0.68,LCC-ICCG,LCC-ICCG
,0.97,183.39,0.08,2.68,194.98,0.097,97,16.2,1.34,LCC-ICCG,LCC-ICCG
,0.57,106.48,0.05,1.55,113.21,0.057,57,9.4,0.79,LCC-ICCG,LCC-ICCG
,0.7,131.63,0.06,1.92,139.94,0.07,70,11.62,0.97,LCC-ICCG,LCC-ICCG
,1.32,249.14,0.11,3.64,264.88,0.132,132,22,1.82,LCC-ICCG,LCC-ICCG
,1.37,257.36,0.11,3.76,273.62,0.137,137,22.73,1.89,LCC-ICCG,LCC-ICCG
,1.25,235.04,0.1,3.43,249.89,0.125,125,20.76,1.73,LCC-ICCG,LCC-ICCG
,0.85,158.98,0.07,2.32,169.03,0.085,85,14.04,1.17,LCC-ICCG,LCC-ICCG
,1.28,240.19,0.11,3.51,255.36,0.128,128,21.21,1.77,LCC-ICCG,LCC-ICCG
,0.98,184.25,0.08,2.69,195.89,0.098,98,16.27,1.35,LCC-ICCG,LCC-ICCG
,0.87,162.91,0.07,2.38,173.2,0.087,87,14.39,1.2,LCC-ICCG,LCC-ICCG
,2.02,379.54,0.17,5.54,403.52,0.202,202,33.52,2.79,LCC-ICCG,LCC-ICCG
,1.87,350.96,0.15,5.12,373.13,0.187,187,30.99,2.58,LCC-ICCG,LCC-ICCG
,1.81,339.8,0.15,4.96,361.27,0.181,181,30.01,2.5,LCC-ICCG,LCC-ICCG
,1.23,231.23,0.1,3.38,245.84,0.123,123,20.42,1.7,LCC-ICCG,LCC-ICCG
,1.57,294.53,0.13,4.3,313.14,0.157,157,26.01,2.17,LCC-ICCG,LCC-ICCG
,1.66,312.07,0.14,4.56,331.79,0.166,166,27.56,2.29,LCC-ICCG,LCC-ICCG
,1.4,263.74,0.12,3.85,280.4,0.14,140,23.29,1.93,LCC-ICCG,LCC-ICCG
,2.9,546.25,0.24,7.97,580.76,0.29,290,48.24,4.01,LCC-ICCG,LCC-ICCG
,2.84,534.72,0.24,7.8,568.5,0.284,284,47.22,3.92,LCC-ICCG,LCC-ICCG
,2.75,517.67,0.23,7.56,550.37,0.275,275,45.72,3.8,LCC-ICCG,LCC-ICCG
,0,0,0,0,0,0,0,0,0,G12,RFP
,0,0,0,0,0,0,0,0,0,G12,RFP
,0,0,0,0,0,0,0,0,0,G12,RFP
,0,0,0,0,0,0,0,0,0,G12,RFP
,0,0,0,0,0,0,0,0,0,G12,RFP
,0,0,0,0,0,0,0,0,0,G12,RFP
,0,0,0,0,0,0,0,0,0,G12,RFP
,0,0,0,0,0,0,0,0,0,G12,RFP
,0.09,16.16,0.01,0.24,17.18,0.009,9,1.43,0,H12,sumo_LCC-ICCG
,0.09,17.11,0.01,0.25,18.19,0.009,9,1.51,0,H12,sumo_LCC-ICCG
,0.52,98.75,0.04,1.44,104.99,0.052,52,8.72,0,H12,sumo_LCC-ICCG
,0.61,114.08,0.05,1.67,121.29,0.061,61,10.08,0,H12,sumo_LCC-ICCG
,0.23,43.19,0.02,0.63,45.92,0.023,23,3.81,0,H12,sumo_LCC-ICCG
,0.16,30.79,0.01,0.45,32.74,0.016,16,2.72,0,H12,sumo_LCC-ICCG
,4,752.21,0.33,10.98,799.74,0.4,400,66.43,0,H12,sumo_LCC-ICCG
,4.65,874.03,0.39,12.76,929.25,0.465,465,77.19,0,H12,sumo_LCC-ICCG
,0.37,68.82,0.03,1,73.17,0.037,37,6.08,0,H12,sumo_LCC-ICCG
,0.44,82.93,0.04,1.21,88.16,0.044,44,7.32,0,H12,sumo_LCC-ICCG
,4.8,902.73,0.4,13.18,959.77,0.48,480,79.72,0,H12,sumo_LCC-ICCG
,7.09,1334.04,0.59,19.47,1418.32,0.709,709,117.81,0,H12,sumo_LCC-ICCG
,0.75,140.58,0.06,2.05,149.46,0.075,75,12.42,0,H12,sumo_LCC-ICCG
,0.7,132.12,0.06,1.93,140.46,0.07,70,11.67,0,H12,sumo_LCC-ICCG
4X,12.31,2316.63,1.02,33.81,2462.99,1.231,1231,204.59,0,H12,sumo_LCC-ICCG
4X,9.95,1872.07,0.83,27.32,1990.35,0.995,995,165.33,0,H12,sumo_LCC-ICCG
,0.17,31.64,0.01,0.46,33.64,0.017,17,2.79,0,H12,sumo_LCC-ICCG
,0.25,46.61,0.02,0.68,49.55,0.025,25,4.12,0,H12,sumo_LCC-ICCG
,0.41,76.55,0.03,1.12,81.38,0.041,41,6.76,0,H12,sumo_LCC-ICCG
,0.44,82.43,0.04,1.2,87.64,0.044,44,7.28,0,H12,sumo_LCC-ICCG
,0.43,81.7,0.04,1.19,86.86,0.043,43,7.22,0,H12,sumo_LCC-ICCG
,0.61,114.94,0.05,1.68,122.2,0.061,61,10.15,0,H12,sumo_LCC-ICCG
,1.09,205.6,0.09,3,218.58,0.109,109,18.16,0,H12,sumo_LCC-ICCG
,1.06,199.22,0.09,2.91,211.8,0.106,106,17.59,0,H12,sumo_LCC-ICCG
,0.77,145.73,0.06,2.13,154.94,0.077,77,12.87,0,H12,sumo_LCC-ICCG
,0.93,175.66,0.08,2.56,186.76,0.093,93,15.51,0,H12,sumo_LCC-ICCG
,1.62,305.57,0.13,4.46,324.88,0.162,162,26.99,0,H12,sumo_LCC-ICCG
,1.7,319.68,0.14,4.67,339.88,0.17,170,28.23,0,H12,sumo_LCC-ICCG
,1.39,260.67,0.12,3.8,277.14,0.139,139,23.02,0,H12,sumo_LCC-ICCG
,1.08,203.02,0.09,2.96,215.85,0.108,108,17.93,0,H12,sumo_LCC-ICCG
,2.23,419.78,0.19,6.13,446.3,0.223,223,37.07,0,H12,sumo_LCC-ICCG
,2.14,403.09,0.18,5.88,428.56,0.214,214,35.6,0,H12,sumo_LCC-ICCG
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,1.31,247.06,0.11,3.61,262.67,0.131,131,21.82,1.81,LCC-ICCG,LCC-ICCG
,0.33,61.14,0.03,0.89,65,0.033,33,5.4,0.72,A11,TEP082
,0.25,46.14,0.02,0.67,49.05,0.025,25,4.07,0.35,LCC-ICCG,LCC-ICCG
,0.06,11.79,0.01,0.17,12.53,0.006,6,1.04,0.13,A11,TEP082
,0,0,0,0,0,0,0,0,0,blank,blank
,0.5,94.95,0.04,1.39,100.95,0.05,50,8.39,0.69,LCC-ICCG,LCC-ICCG
,0.14,26.79,0.01,0.39,28.49,0.014,14,2.37,0.31,A11,TEP082
,0,0,0,0,0,0,0,0,0,blank,blank
,0.99,185.97,0.08,2.71,197.72,0.099,99,16.42,1.37,LCC-ICCG,LCC-ICCG
,0.38,72.25,0.03,1.05,76.82,0.038,38,6.38,0.83,A11,TEP082
,0.15,27.51,0.01,0.4,29.24,0.015,15,2.43,0.33,B2,TEP010
,0.24,44.85,0.02,0.65,47.68,0.024,24,3.96,0.52,B2,TEP010
,0,0,0,0,0,0,0,0,0,B11,TEP083
,0,0,0,0,0,0,0,0,0,C5,TEP036
,0,0,0,0,0,0,0,0,0,B11,TEP083
,0,0,0,0,0,0,0,0,0,C5,TEP036
,0.24,44.75,0.02,0.65,47.57,0.024,24,3.95,0.52,B2,TEP010
,0.06,11.11,0,0.16,11.81,0.006,6,0.98,0.09,B11,TEP083
,0,0,0,0,0,0,0,0,0,C5,TEP036
,0.4,74.83,0.03,1.09,79.56,0.04,40,6.61,0.87,B2,TEP010
,0,0,0,0,0,0,0,0,0,B11,TEP083
,0,0,0,0,0,0,0,0,0,C5,TEP036
,0,0,0,0,0,0,0,0,0,D2,TEP013
,0.55,102.55,0.05,1.5,109.03,0.055,55,9.06,1.11,D2,TEP013
,0.16,30.11,0.01,0.44,32.02,0.016,16,2.66,0.33,D4,TEP029
,0.04,8.13,0,0.12,8.64,0.004,4,0.72,0.06,D8,TEP061
,0,0,0,0,0,0,0,0,0,D4,TEP029
,0,0,0,0,0,0,0,0,0,D8,TEP061
,0.05,9.32,0,0.14,9.9,0.005,5,0.82,0.1,D2,TEP013
,0,0,0,0,0,0,0,0,0,D4,TEP029
,0,0,0,0,0,0,0,0,0,D8,TEP061
,0.26,48.4,0.02,0.71,51.46,0.026,26,4.27,0.52,D2,TEP013
,0.11,21.48,0.01,0.31,22.83,0.011,11,1.9,0.23,D4,TEP029
,0,0,0,0,0,0,0,0,0,D8,TEP061
,0,0,0,0,0,0,0,0,0,E2,TEP014
,0.04,7.79,0,0.11,8.28,0.004,4,0.69,0.06,E2,TEP014
,0.16,29.64,0.01,0.43,31.51,0.016,16,2.62,0.35,E7,TEP054
,0,0,0,0,0,0,0,0,0,E11,TEP086
,0.11,20.9,0.01,0.31,22.22,0.011,11,1.85,0.24,E7,TEP054
,0,0,0,0,0,0,0,0,0,E11,TEP086
,0,0,0,0,0,0,0,0,0,E2,TEP014
,0.22,40.72,0.02,0.59,43.29,0.022,22,3.6,0.49,E7,TEP054
,0,0,0,0,0,0,0,0,0,E11,TEP086
,0,0,0,0,0,0,0,0,0,E2,TEP014
,0.35,65.14,0.03,0.95,69.25,0.035,35,5.75,0.77,E7,TEP054
,0,0,0,0,0,0,0,0,0,E11,TEP086
,0,0,0,0,0,0,0,0,0,F1,TEP006
,0,0,0,0,0,0,0,0,0,F1,TEP006
,0.14,26.08,0.01,0.38,27.73,0.014,14,2.3,0.29,G3,TEP024
,0.31,57.96,0.03,0.85,61.62,0.031,31,5.12,0.85,G10,TEP080
,0,0,0,0,0,0,0,0,0,G3,TEP024
,0,0,0,0,0,0,0,0,0,G10,TEP080
,0,0,0,0,0,0,0,0,0,F1,TEP006
,0.04,7.89,0,0.12,8.39,0.004,4,0.7,0.08,G3,TEP024
,0.04,6.61,0,0.1,7.02,0.004,4,0.58,0.11,G10,TEP080
,0,0,0,0,0,0,0,0,0,F1,TEP006
,0.1,18.53,0.01,0.27,19.7,0.01,10,1.64,0.21,G3,TEP024
,0.18,33.64,0.01,0.49,35.76,0.018,18,2.97,0.49,G10,TEP080
,0,0,0,0,0,0,0,0,0,H5,TEP041
,0,0,0,0,0,0,0,0,0,H5,TEP041
,0.29,54.06,0.02,0.79,57.48,0.029,29,4.77,0.61,H12,TEP097
,0.08,15.82,0.01,0.23,16.82,0.008,8,1.4,0.17,H12,TEP097
,0,0,0,0,0,0,0,0,0,H5,TEP041
,0.12,23.24,0.01,0.34,24.71,0.012,12,2.05,0.25,H12,TEP097
,0.03,6.27,0,0.09,6.66,0.003,3,0.55,0.04,H5,TEP041
,0.36,66.93,0.03,0.98,71.16,0.036,36,5.91,0.76,H12,TEP097
,0,0,0,0,0,0,0,0,0,blank,blank
,0,0,0,0,0,0,0,0,0,blank,blank
,1.28,240.19,0.11,3.51,255.36,0.128,128,21.21,1.77,LCC-ICCG,LCC-ICCG
,0.35,66.56,0.03,0.97,70.77,0.035,35,5.88,0.77,A11,TEP082
,0.19,35.4,0.02,0.52,37.63,0.019,19,3.13,0.26,LCC-ICCG,LCC-ICCG
,0.07,12.5,0.01,0.18,13.29,0.007,7,1.1,0.15,A11,TEP082
,0,0,0,0,0,0,0,0,0,blank,blank
,0.43,81.7,0.04,1.19,86.86,0.043,43,7.22,0.59,LCC-ICCG,LCC-ICCG
,0.16,29.27,0.01,0.43,31.12,0.016,16,2.58,0.35,A11,TEP082
,0,0,0,0,0,0,0,0,0,blank,blank
,1.13,213.32,0.09,3.11,226.8,0.113,113,18.84,1.56,LCC-ICCG,LCC-ICCG
,0.41,77.4,0.03,1.13,82.3,0.041,41,6.84,0.9,A11,TEP082
,0.12,23.14,0.01,0.34,24.6,0.012,12,2.04,0.26,B2,TEP010
,0.3,56.53,0.02,0.83,60.11,0.03,30,4.99,0.65,B2,TEP010
,0,0,0,0,0,0,0,0,0,B11,TEP083
,0,0,0,0,0,0,0,0,0,C5,TEP036
,0,0,0,0,0,0,0,0,0,B11,TEP083
,0,0,0,0,0,0,0,0,0,C5,TEP036
,0.24,45.09,0.02,0.66,47.93,0.024,24,3.98,0.52,B2,TEP010
,0,0,0,0,0,0,0,0,0,B11,TEP083
,0,0,0,0,0,0,0,0,0,C5,TEP036
,0.42,78.26,0.03,1.14,83.21,0.042,42,6.91,0.91,B2,TEP010
,0,0,0,0,0,0,0,0,0,B11,TEP083
